,Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined,adr_tocheck,geometry.location.lat,geometry.location.lng,formatted_address,locality,administrative_area_level_2,administrative_area_level_1,route,street_number
97,812134,Теле-2,"г. Иркутск, ул. Литвинова, д. 17",,812134_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,812 134," г. Иркутск, ул. Литвинова, д. 17",52.28212329999999,104.2945849,"ул. Литвинова, 17, Иркутск, Иркутская обл., Россия, 664003",Иркутск,город Иркутск,Иркутская область,улица Литвинова,17
98,113657,Теле-2,"г. Иркутск,ул. Сергеева, д. 3/5",,113657_ESL-ZKong,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,113 657," г. Иркутск,ул. Сергеева, д. 3/5",52.2658723,104.2268462,"ул. Сергеева, 3/5, Иркутск, Иркутская обл., Россия, 664043",Иркутск,город Иркутск,Иркутская область,улица Сергеева,3/5
99,1018178,Теле-2,"г. Иркутск,  Юбилейный мкрн, д. 19/1",,1018178_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,1 018 178," г. Иркутск,  Юбилейный мкрн, д. 19/1",52.2279324,104.2989262,"ул. Юбилейный микрорайон, 19/1, Иркутск, Иркутская обл., Россия, 664056",Иркутск,город Иркутск,Иркутская область,улица Юбилейный микрорайон,19/1
100,747395,Теле-2,"г. Иркутск, ул. Свердлова, д. 36",,747395_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,747 395," г. Иркутск, ул. Свердлова, д. 36",52.2863617,104.2884036,"ул. Свердлова, 36, Иркутск, Иркутская обл., Россия, 664011",Иркутск,город Иркутск,Иркутская область,улица Свердлова,36
101,1133182,Теле-2,"г. Хабаровск, ул. Пионерская, д. 2-В",,1133182_ESL-SES,На поддержке,Хабаровский филиал Т2 Мобайл,1 133 182," г. Хабаровск, ул. Пионерская, д. 2-В",48.4642185,135.0736798,"Пионерская ул., 2, в, Хабаровск, Хабаровский край, Россия, 680003",Хабаровск,город Хабаровск,Хабаровский край,Пионерская улица,2
102,1125920,Теле-2,"г. Хабаровск, ул. Муравьева-Амурского, д. 31",,1125920_ESL-SES,На поддержке,Хабаровский филиал Т2 Мобайл,1 125 920," г. Хабаровск, ул. Муравьева-Амурского, д. 31",48.4789184,135.0686886,"ул. Муравьева-Амурского, 31, Хабаровск, Хабаровский край, Россия, 680000",Хабаровск,город Хабаровск,Хабаровский край,улица Муравьева-Амурского,31
103,29420,Теле-2,"г. Александров, ул. Ленина, д. 7 ",,29420_ESL-SES,На поддержке,"Владимирский филиал ООО ""Т2 Мобайл""",29 420," г. Александров, ул. Ленина, д. 7 ",56.3974439,38.7120699,"ул. Ленина, 7, Александров, Владимирская обл., Россия, 601650",Александров,город Александров,Владимирская область,улица Ленина,7
104,21008,Теле-2,"г. Ковров, пр-т Ленина, д. 59",,21008_ESL-SES,На поддержке,"Владимирский филиал ООО ""Т2 Мобайл""",21 008," г. Ковров, пр-т Ленина, д. 59",56.351574,41.310966,"пр. Ленина, 59, Ковров, Владимирская обл., Россия, 601910",Ковров,город Ковров,Владимирская область,проспект Ленина,59
105,20900,Теле-2,"г. Калуга, ул. Кирова, д. 46",,20900_ESL-SES,На поддержке,"Калужский филиал ООО ""Т2 Мобайл""",20 900," г. Калуга, ул. Кирова, д. 46",54.5139946,36.25742839999999,"ул. Кирова, 46, Калуга, Калужская обл., Россия, 248001",Калуга,город Калуга,Калужская область,улица Кирова,46
106,993207,Теле-2,"г. Калуга, ул. Кирова, д. 13",,993207_ESL-SES,На поддержке,"Калужский филиал ООО ""Т2 Мобайл""",993 207," г. Калуга, ул. Кирова, д. 13",54.5153714,36.2505236,"ул. Кирова, 13, Калуга, Калужская обл., Россия, 248001",Калуга,город Калуга,Калужская область,улица Кирова,13
107,996429,Теле-2,"г. Рязань, ул. Новоселов, д. 30А",,996429_ESL-SES,На поддержке,"Рязанский филиал ООО ""Т2 Мобайл""",996 429," г. Рязань, ул. Новоселов, д. 30А",54.6087265,39.8073656,"ул. Новоселов, 30А, Рязань, Рязанская обл., Россия, 390048",Рязань,город Рязань,Рязанская область,улица Новоселов,30А
108, Б/Н,Теле-2,"г. Рязань, Московское ш., д.65А",, Б/Н_,Архивный,"Рязанский филиал ООО ""Т2 Мобайл""", Б/Н," г. Рязань, Московское ш., д.65А",54.65047329999999,39.6368413,"Московское ш., 65А, Рязань, Рязанская обл., Россия, 390044",Рязань,город Рязань,Рязанская область,Московское шоссе,65А
109,1004742,Теле-2,"г. Смоленск, ул. Желябова, д. 1 ТЦ ""Байкал"" ",,1004742_ESL-SES,Архивный,"Смоленский филиал ООО ""Т2 Мобайл""",1 004 742," г. Смоленск, ул. Желябова, д. 1 ТЦ ""Байкал"" ",54.7946725,32.0430312,"ТЦ ""Байкал"", ул. Желябова, 1, Смоленск, Смоленская обл., Россия, 214012",Смоленск,город Смоленск,Смоленская область,улица Желябова,1
110,1067325,Теле-2,"г. Смоленск, пр-т Гагарина, д. 1",,1067325_ESL-SES,Нет активной поддержки,"Смоленский филиал ООО ""Т2 Мобайл""",1 067 325," г. Смоленск, пр-т Гагарина, д. 1",54.7776237,32.0507534,"пр. Гагарина, 1, Смоленск, Смоленская обл., Россия, 214000",Смоленск,город Смоленск,Смоленская область,проспект Гагарина,1
111,989315,Теле-2,"г. Иваново, ул. Строителей, д. 25",,989315_ESL-SES,Архивный,Ивановский филиал Т2 МОБАЙЛ ООО,989 315," г. Иваново, ул. Строителей, д. 25",56.96464659999999,40.9894515,"пр. Строителей, 25, Иваново, Ивановская обл., Россия, 153040",Иваново,город Иваново,Ивановская область,проспект Строителей,25
112,28678,Теле-2,"г. Богородицк, ул. Ленина, д.12",,28678_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",28 678," г. Богородицк, ул. Ленина, д.12",53.7709066,38.130375,"ул. Ленина, 12, Богородицк, Тульская обл., Россия, 301835",Богородицк,город Богородицк,Тульская область,улица Ленина,12
113,1001973,Теле-2,"г. Тула, ул. Аркадия Шипунова, д. 1Г (Глобус) -",,1001973_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",1 001 973," г. Тула, ул. Аркадия Шипунова, д. 1Г (Глобус) -",54.17632210000001,37.6465396,"ул. Аркадия Шипунова, 1А, Осиновая Гора, Тульская обл., Россия, 300045",Осиновая Гора,город Тула,Тульская область,улица Аркадия Шипунова,1А
114,1001790,Теле-2,"г. Тула, ул . Металлургов, д.62а",,1001790_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",1 001 790," г. Тула, ул . Металлургов, д.62а",54.1920084,37.6886859,"ул. Металлургов, 62а, Тула, Тульская обл., Россия, 300027",Тула,город Тула,Тульская область,улица Металлургов,62а
115,128202,Теле-2,"г. Тула, ул. Пролетарская, д. 2",,128202_ESL-ZKong,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",128 202," г. Тула, ул. Пролетарская, д. 2",54.1939465,37.63721839999999,"ул. Пролетарская, 2, Тула, Тульская обл., Россия, 300001",Тула,город Тула,Тульская область,улица Пролетарская,2
116,77705,Теле-2,"г. Тула, ул. Демонстрации, д. 1Г",,77705_ESL-SES,На поддержке,"Тульский филиал ООО ""Т2 Мобайл""",77 705," г. Тула, ул. Демонстрации, д. 1Г",54.1926851,37.6120513,"Демонстрации ул., 1Г, Тула, Тульская обл., Россия, 300041",Тула,город Тула,Тульская область,Демонстрации улица,1Г
117,1000878,Теле-2,"г. Тула, Красноармейский пр-т, д. 2",,1000878_ESL-SES,На поддержке,"Тульский филиал ООО ""Т2 Мобайл""",1 000 878," г. Тула, Красноармейский пр-т, д. 2",54.1967767,37.6108775,"Красноармейский пр., 2, Тула, Тульская обл., Россия, 300041",Тула,город Тула,Тульская область,Красноармейский проспект,2
118,998406,Теле-2,"г. Тула, ул. Советская, д. 47",,998406_ESL-SES,Архивный,"Тульский филиал ООО ""Т2 Мобайл""",998 406," г. Тула, ул. Советская, д. 47",54.19193929999999,37.6189978,"ул. Советская, 47, Тула, Тульская обл., Россия, 300041",Тула,город Тула,Тульская область,улица Советская,47
119,53113,Теле-2,"г. Узловая, ул. Беклемищева, д. 40",,53113_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",53 113," г. Узловая, ул. Беклемищева, д. 40",53.97828690000001,38.156804,"ул. Беклемищева, 40, Узловая, Тульская обл., Россия, 301600",Узловая,город Узловая,Тульская область,улица Беклемищева,40
120,889404,Теле-2,"г. Архангельск, Ленинградский, 38 - модуль ",,889404_ESL-SES,Архивный,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",889 404," г. Архангельск, Ленинградский, 38 - модуль ",64.52403410000001,40.59762509999999,"Ленинградский пр-т., 38, Архангельск, Архангельская обл., Россия, 163000",Архангельск,Архангельск,Архангельская область,Ленинградский проспект,38
121,118154,Теле-2,"г. Архангельск, Ленинградский пр-т, д. 255",,118154_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",118 154," г. Архангельск, Ленинградский пр-т, д. 255",64.51026039999999,40.6639845,"Ленинградский пр-т., 255, Архангельск, Архангельская обл., Россия, 163062",Архангельск,Архангельск,Архангельская область,Ленинградский проспект,255
122,122008,Теле-2,"г. Архангельск, Воскресенская ул., д. 20, ТЦ Титан Арена",,122008_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",122 008," г. Архангельск, Воскресенская ул., д. 20, ТЦ Титан Арена",64.5420743,40.5349386,"Воскресенская ул., 20, Архангельск, Архангельская обл., Россия, 163046",Архангельск,Архангельск,Архангельская область,Воскресенская улица,20
123,114419,Теле-2,"г. Архангельск, Ленинградский пр-т, д. 38 ТРЦ Макси",,114419_ESL-ZKong,На поддержке,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",114 419," г. Архангельск, Ленинградский пр-т, д. 38 ТРЦ Макси",64.5245186,40.601422,"Ленинградский пр-т., 38, Архангельск, Архангельская обл., Россия, 163009",Архангельск,Архангельск,Архангельская область,Ленинградский проспект,38
124,825255,Теле-2,"г. Северодвинск, ул. Ленина, д. 35",,825255_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",825 255," г. Северодвинск, ул. Ленина, д. 35",64.557901,39.830726,"пр. Ленина, 35-37, Северодвинск, Архангельская обл., Россия, 164507",Северодвинск,город Северодвинск,Архангельская область,проспект Ленина,35-37
125,137744,Теле-2,"г. Северодвинск, Морской пр. 70",,137744_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",137 744," г. Северодвинск, Морской пр. 70",64.5351479,39.7780875,"ТЦ ""Сити"", просп. Морской, 70, Северодвинск, Архангельская обл., Россия, 164523",Северодвинск,город Северодвинск,Архангельская область,проспект Морской,70
126,107761,Теле-2,"г. Вологда, ш. Окружное, д. 12, ТЦ ""РИО”",,107761_ESL-SES,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",107 761," г. Вологда, ш. Окружное, д. 12, ТЦ ""РИО”",59.2027555,39.81259319999999,"Окружное ш., 12, Вологда, Вологодская обл., Россия, 160028",Вологда,город Вологда,Вологодская область,Окружное шоссе,12
127,854537,Теле-2,"г. Вологда,ул. Карла Маркса, д. 105",,854537_ESL-ZKong,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",854 537," г. Вологда,ул. Карла Маркса, д. 105",59.2168996,39.9323797,"ул. Карла Маркса, 105, Вологда, Вологодская обл., Россия, 160024",Вологда,город Вологда,Вологодская область,улица Карла Маркса,105
128,808232,Теле-2,"г. Череповец, ул. Победы, д. 200",,808232_ESL-SES,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",808 232," г. Череповец, ул. Победы, д. 200",59.1196917,38.00101170000001,"ул. Победы, 200, Череповец, Вологодская обл., Россия, 162624",Череповец,город Череповец,Вологодская область,улица Победы,200
129,116412,Теле-2,"г. Череповец, Октябрьский пр-т, д. 25",,116412_ESL-ZKong,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",116 412," г. Череповец, Октябрьский пр-т, д. 25",59.132333,37.9091811,"Череповец, Вологодская обл., Россия",Череповец,город Череповец,Вологодская область,,
130,104112,Теле-2,"г. Санкт-Петербург, ул. Брантовская дорога, д.3   mt49 мт",,104112_ESL-SES,Нет активной поддержки,,104 112," г. Санкт-Петербург, ул. Брантовская дорога, д.3   mt49 мт",59.9402023,30.4184351,"Брантовская дор., 3, Санкт-Петербург, Россия, 195027",Санкт-Петербург,,Санкт-Петербург,Брантовская дорога,3
131,1067836,Теле-2,"г. Калининград, п. Орловка, Приморское кольцо, Балтия Молл",,1067836_ESL-SES,Архивный,"Калининградский филиал ООО ""Т2 Мобайл""",1 067 836," г. Калининград, п. Орловка, Приморское кольцо, Балтия Молл",54.7929425,20.5292623,"Орловка, Калининградская обл., Россия",Орловка,Гурьевский район,Калининградская область,,
132,131970,Теле-2,"г. Калининград, Советский пр-т, д. 8, ТЦ Спар",,131970_ESL-ZKong,Нет активной поддержки,"Калининградский филиал ООО ""Т2 Мобайл""",131 970," г. Калининград, Советский пр-т, д. 8, ТЦ Спар",54.722594,20.500268,"Советский пр., 8, Калининград, Калининградская обл., Россия, 236022",Калининград,город Калининград,Калининградская область,Советский проспект,8
133,1121867,Теле-2,"г. Мурманск, ул. Ленинградская, д. 20/3, ТЦ «Волна». -",,1121867_ESL-SES,Нет активной поддержки,"Мурманский филиал ООО ""Т2 Мобайл""",1 121 867," г. Мурманск, ул. Ленинградская, д. 20/3, ТЦ «Волна». -",68.970486,33.071077,"Ленинградская ул., 20/3, Мурманск, Мурманская обл., Россия, 183038",Мурманск,город Мурманск,Мурманская область,Ленинградская улица,20/3
134,64339,Теле-2,"г. Мурманск, пр-т Ленина, д. 74",,64339_ESL-ZKong,Нет активной поддержки,"Мурманский филиал ООО ""Т2 Мобайл""",64 339," г. Мурманск, пр-т Ленина, д. 74",68.9663332,33.0731215,"пр. Ленина, 74, Мурманск, Мурманская обл., Россия, 183038",Мурманск,город Мурманск,Мурманская область,проспект Ленина,74
135,1001795,Теле-2,"г. Мурманск, пр-т Ленина, д. 32 ТЦ Молл -",,1001795_ESL-SES,На поддержке,"Мурманский филиал ООО ""Т2 Мобайл""",1 001 795," г. Мурманск, пр-т Ленина, д. 32 ТЦ Молл -",68.9565373,33.0687278,"пр. Ленина, 32, Мурманск, Мурманская обл., Россия, 183038",Мурманск,город Мурманск,Мурманская область,проспект Ленина,32
136,1121407,Теле-2,"г. Великий Новгород, ул. Ломоносова, д. 29, ТЦ Мармелад",,1121407_ESL-SES,Нет активной поддержки,Новгородский филиал Т2 МОБАЙЛ ООО,1 121 407," г. Великий Новгород, ул. Ломоносова, д. 29, ТЦ Мармелад",58.54072060000001,31.2454436,"ул. Ломоносова, 29, Великий Новгород, Новгородская обл., Россия, 173016",Великий Новгород,город Великий Новгород,Новгородская область,улица Ломоносова,29
137,839057,Теле-2,"г. Великий Новгород, ул. Большая Санкт-Петербургская, д. 130",,839057_ESL-ZKong,Нет активной поддержки,Новгородский филиал Т2 МОБАЙЛ ООО,839 057," г. Великий Новгород, ул. Большая Санкт-Петербургская, д. 130",58.56518550000001,31.2799915,"Большая Санкт-Петербургская ул., 130, Великий Новгород, Новгородская обл., Россия, 173008",Великий Новгород,город Великий Новгород,Новгородская область,Большая Санкт-Петербургская улица,130
138,25712,Теле-2,"г. Петрозаводск, ул. Ленина, д. 37",,25712_ESL-SES,Нет активной поддержки,"Петрозаводский филиал ООО ""Т2 Мобайл""",25 712," г. Петрозаводск, ул. Ленина, д. 37",61.77816170000001,34.3640396,"Петрозаводск, Респ. Карелия, Россия",Петрозаводск,город Петрозаводск,Республика Карелия,,
139,831096,Теле-2,"г. Петрозаводск, пр-т Ленина, д. 14",,831096_ESL-ZKong,Нет активной поддержки,"Петрозаводский филиал ООО ""Т2 Мобайл""",831 096," г. Петрозаводск, пр-т Ленина, д. 14",61.791287,34.3642208,"пр. Ленина, 14, Петрозаводск, Респ. Карелия, Россия, 185035",Петрозаводск,город Петрозаводск,Республика Карелия,проспект Ленина,14
140,991417,Теле-2,"г. Псков, д. Борисовичи, ул. Завеличенская, д. 23,  ТРЦ ""Fjord Plaza"", пом. 1.1.32",,991417_ESL-SES,Нет активной поддержки,"Псковский филиал ООО ""Т2 Мобайл",991 417," г. Псков, д. Борисовичи, ул. Завеличенская, д. 23,  ТРЦ ""Fjord Plaza"", пом. 1.1.32",57.79869579999999,28.334504,"Завеличенская наб., 23, Борисовичи, Псковская обл., Россия, 180002",Борисовичи,город Псков,Псковская область,Завеличенская набережная,23
141,948195,Теле-2,"г. Псков, ул. Яна Фабрициуса, д.5в",,948195_ESL-ZKong,На поддержке,"Псковский филиал ООО ""Т2 Мобайл",948 195," г. Псков, ул. Яна Фабрициуса, д.5в",57.80602400000001,28.34765,"ул. Яна Фабрициуса, 5В, Псков, Псковская обл., Россия, 180017",Псков,город Псков,Псковская область,улица Яна Фабрициуса,5В
142,95715,Теле-2,"г. Гатчина, ул. Соборная, д. 10",,95715_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",95 715," г. Гатчина, ул. Соборная, д. 10",59.5661685,30.1242871,"Соборная ул., 10, Гатчина, Ленинградская обл., Россия, 188300",Гатчина,Гатчинский район,Ленинградская область,Соборная улица,10
143,937753,Теле-2,"г. Гатчина, Пушкинское ш., д. 15",,937753_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",937 753," г. Гатчина, Пушкинское ш., д. 15",59.58273389999999,30.14635179999999,"Пушкинское ш., 15, Гатчина, Ленинградская обл., Россия, 188306",Гатчина,Гатчинский район,Ленинградская область,Пушкинское шоссе,15
144,50203,Теле-2,"г. Пушкин, ул. Оранжерейная, д. 23",,50203_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",50 203," г. Пушкин, ул. Оранжерейная, д. 23",59.71967289999999,30.4089883,"Оранжерейная ул., 23, Санкт-Петербург, Россия, 196601",Санкт-Петербург,,Санкт-Петербург,Оранжерейная улица,23
145,742871,Теле-2,"г. Санкт-Петербург, ул. Комендантская, д. 1, ТЦ_Атмосфера",,742871_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",742 871," г. Санкт-Петербург, ул. Комендантская, д. 1, ТЦ_Атмосфера",60.00762750000001,30.2597394,"Комендантская пл., 1, лит.А, Санкт-Петербург, Россия, 197372",Санкт-Петербург,,Санкт-Петербург,Комендантская площадь,"1, лит.А"
146,120732,Теле-2,"г. Санкт-Петербург, пр-т Просвещения, д. 19, ТЦ Норд",,120732_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",120 732," г. Санкт-Петербург, пр-т Просвещения, д. 19, ТЦ Норд",60.0522412,30.3331041,"пр. Просвещения, 19, Санкт-Петербург, Россия, 194358",Санкт-Петербург,,Санкт-Петербург,проспект Просвещения,19
147,1017610,Теле-2,"г. Санкт-Петербург,  Славы 43",,1017610_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 017 610," г. Санкт-Петербург,  Славы 43",59.8580219,30.3901808,"пр-т. Славы, 43, Санкт-Петербург, Россия, 192071",Санкт-Петербург,,Санкт-Петербург,проспект Славы,43
148,1039115,Теле-2,"г. Санкт-Петербург, пр-т Просвещения , д. 74",,1039115_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 039 115," г. Санкт-Петербург, пр-т Просвещения , д. 74",60.0419989,30.3914545,"пр. Просвещения, 74, Санкт-Петербург, Россия, 195276",Санкт-Петербург,,Санкт-Петербург,проспект Просвещения,74
149,850522,Теле-2,"г. Санкт-Петербург, ул. Бухарестская, д. 89",,850522_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",850 522," г. Санкт-Петербург, ул. Бухарестская, д. 89",59.8329668,30.4140137,"Бухарестская ул., 89, Санкт-Петербург, Россия, 192283",Санкт-Петербург,,Санкт-Петербург,Бухарестская улица,89
150,114537,Теле-2,"г. Санкт-Петербург, ул. Ленсовета, д. 97А",,114537_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",114 537," г. Санкт-Петербург, ул. Ленсовета, д. 97А",59.83234090000001,30.349063,"ул. Ленсовета, 97А, Санкт-Петербург, Россия, 196158",Санкт-Петербург,,Санкт-Петербург,улица Ленсовета,97А
151,127740,Теле-2,"г. Санкт-Петербург, ул. Бухарестская, д. 30",,127740_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",127 740," г. Санкт-Петербург, ул. Бухарестская, д. 30",59.88298639999999,30.369846,"Бухарестская ул., 30/32, Санкт-Петербург, Россия, 192071",Санкт-Петербург,,Санкт-Петербург,Бухарестская улица,30/32
152,827944,Теле-2,"г. Санкт-Петербург, пр-т Большевиков, д. 18",,827944_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",827 944," г. Санкт-Петербург, пр-т Большевиков, д. 18",59.90835629999999,30.4829294,"пр. Большевиков, 18, Санкт-Петербург, Россия, 193168",Санкт-Петербург,,Санкт-Петербург,проспект Большевиков,18
153,77611,Теле-2,"г. Санкт-Петербург, Каменоостровский пр-т, д. 42",,77611_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",77 611," г. Санкт-Петербург, Каменоостровский пр-т, д. 42",59.96746939999999,30.3090712,"Каменноостровский пр., 42, Санкт-Петербург, Россия, 197101",Санкт-Петербург,,Санкт-Петербург,Каменноостровский проспект,42
154,930315,Теле-2,"г. Санкт-Петербург, Мурманское ш., 12-й км",,930315_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",930 315," г. Санкт-Петербург, Мурманское ш., 12-й км",59.8944626,30.5172813,"Мурманское ш., 12-й км, Санкт-Петербург, Ленинградская обл., Россия, 193315",Санкт-Петербург,Всеволожский район,Ленинградская область,Мурманское шоссе,12-й км
155,914886,Теле-2,"г. Санкт-Петербург, ул. Коллонтай, д. 3",,914886_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",914 886," г. Санкт-Петербург, ул. Коллонтай, д. 3",59.91186,30.4464636,"ул. Коллонтай, 3, Санкт-Петербург, Россия, 193313",Санкт-Петербург,,Санкт-Петербург,улица Коллонтай,3
156,837896,Теле-2,"г. Санкт-Петербург, пр-т Ветеранов, д. 101",,837896_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",837 896," г. Санкт-Петербург, пр-т Ветеранов, д. 101",59.8343563,30.2058842,"пр-т. Ветеранов, 101, T, Санкт-Петербург, Россия, 190000",T,,Санкт-Петербург,Проспект Ветеранов,101
157,118949,Теле-2,"г. Санкт-Петербург, пр-т Культуры, д.1, ТРК Родео Драйв",,118949_,Архивный,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",118 949," г. Санкт-Петербург, пр-т Культуры, д.1, ТРК Родео Драйв",60.03373509999999,30.367622,"пр. Культуры, 1, Санкт-Петербург, Россия, 195274",Санкт-Петербург,,Санкт-Петербург,проспект Культуры,1
158,946405,Теле-2,"г. Санкт-Петербург, Прибрежная ул., д. 20",,946405_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",946 405," г. Санкт-Петербург, Прибрежная ул., д. 20",59.83192529999999,30.5053244,"Прибрежная ул., 20, Санкт-Петербург, Россия, 192177",Санкт-Петербург,,Санкт-Петербург,Прибрежная улица,20
159,1068771,Теле-2,"г. Санкт-Петербург, Московский пр-т, д. 216 ",,1068771_ESL-SES,Архивный,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 068 771," г. Санкт-Петербург, Московский пр-т, д. 216 ",59.84872240000001,30.3223279,"Московский пр-т., 216, Санкт-Петербург, Россия, 196066",Санкт-Петербург,,Санкт-Петербург,Московский проспект,216
160,1072254,Теле-2,"г. Санкт-Петербург, ул. Долгоозерная, д. 14к2, ТЦ_5_Озер - ",,1072254_ESL-SES,Архивный,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 072 254," г. Санкт-Петербург, ул. Долгоозерная, д. 14к2, ТЦ_5_Озер - ",60.01661729999999,30.2462857,"Долгоозeрная ул., 14к2, Санкт-Петербург, Россия, 197373",Санкт-Петербург,,Санкт-Петербург,Долгоозeрная улица,14к2
161,907272,Теле-2,"г. Мурино, б-р Менделеева, д.1А",,907272_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",907 272," г. Мурино, б-р Менделеева, д.1А",60.05019429999999,30.4409615,"б-р Менделеева, 1а, Мурино, Ленинградская обл., Россия, 188662",Мурино,Всеволожский район,Ленинградская область,бульвар Менделеева,1а
162,130056,Теле-2,"г. СПб, Большой пр.В.О. 68",,130056_ESL-ZKong,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",130 056," г. СПб, Большой пр.В.О. 68",59.93183730000001,30.2598867,"Большой проспект Васильевского острова, д. 68, Санкт-Петербург, Россия, 199106",Санкт-Петербург,,Санкт-Петербург,Большой проспект Васильевского острова,д. 68
163,68861,Теле-2,"г. Санкт-Петербург, Московский, 2",,68861_ESL-ZKong,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",68 861," г. Санкт-Петербург, Московский, 2",59.8675808,30.3186271,"д163, 2, Санкт-Петербург, Россия, 196070",Санкт-Петербург,,Санкт-Петербург,д163,2
164,40398,Теле-2,"г. Колпино, ул. Октябрьская, д. 8 ",,40398_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",40 398," г. Колпино, ул. Октябрьская, д. 8 ",59.73908449999999,30.6227177,"Октябрьская ул., 8, Санкт-Петербург, Ленинградская обл., Россия, 196655",Санкт-Петербург,,Ленинградская область,Октябрьская улица,8
165,10802,Теле-2,"г. Кронштадт, пр-т Ленина, д. 13.  Связь с Антоном",,10802_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",10 802," г. Кронштадт, пр-т Ленина, д. 13.  Связь с Антоном",59.99761439999999,29.7656725,"пр. Ленина, 13, Санкт-Петербург, Россия, 197760",Санкт-Петербург,,Санкт-Петербург,проспект Ленина,13
166,36836,Теле-2,"г. Выборг, Ушакова 4 ",,36836_,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",36 836," г. Выборг, Ушакова 4 ",60.71066699999999,28.7487915,"ул. Ушакова, 4, Выборг, Ленинградская обл., Россия, 188800",Выборг,Выборгский район,Ленинградская область,улица Ушакова,4
167,129389,Теле-2,"Санкт-Петербург, улица Комсомола, 35",,129389_,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",129 389," Санкт-Петербург, улица Комсомола, 35",59.9563217,30.358412,"ул. Комсомола, 35, Санкт-Петербург, Россия, 195009",Санкт-Петербург,,Санкт-Петербург,улица Комсомола,35
